RESULT,1000
COUNT,1000
MONEY,1000
ITEM,1000
ITEMSALES,1000
ITEMSALES,1000
NOITEM,1000
BOUGHT,1000
PBAND,1000
FLAG,10000
TFLAG,1000
TARGET,1000
MASTER,1000
PLAYER,1000
ASSI,1000
ASSIPLAY,1000
UP,1000
DOWN,1000
LOSEBASE,1000
PALAMLV,1000
EXPLV,1000
EJAC,1000
PREVCOM,1000
SELECTCOM,1000
NEXTCOM,1000
RESULT,1000
COUNT,1000
A,1000
B,1000
C,1000
D,1000
E,1000
F,1000
G,1000
H,1000
I,1000
J,1000
K,1000
L,1000
M,1000
N,1000
O,1000
P,1000
Q,1000
R,1000
S,1000
T,1000
U,1000
V,1000
W,1000
X,1000
Y,1000
Z,1000
SAVESTR,1000
STR,1000
RESULTS,1000
TSTR,1000
BASE,1000
MAXBASE,1000
ABL,1000
TALENT,1000
EXP,1000
MARK,1000
PALAM,1000
SOURCE,1000
EX,1000
CFLAG,1000
JUEL,1000
RELATION,1000
EQUIP,1000
TEQUIP,1000
STAIN,1000
GOTJUEL,1000
NOWEX,1000
TCVAR,1000
CUP,1000
CDOWN,1000
DOWNBASE,1000
LOCAL,1000
LOCALS,1000
ARG,1000
ARGS,1000
GLOBAL,1000
GLOBALS,1000
DAY,1000
ASSI,1000
TIME,1000
PAGE,1000
番号,1000